City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Aksu,CN,2022-02-13 22:12:46,41.1231,80.2644,28.08,40,11,5.28,few clouds
246,Sicamous,CA,2022-02-13 22:12:46,50.8331,-118.9856,44.19,96,75,1.95,broken clouds
247,Sabang,ID,2022-02-13 22:12:47,5.8933,95.3214,81.32,74,46,9.71,scattered clouds
248,Nakusp,CA,2022-02-13 22:12:47,50.2499,-117.8023,37.96,99,50,0.89,scattered clouds
249,Dromolaxia,CY,2022-02-13 22:12:48,34.8761,33.586,55.98,76,40,2.3,scattered clouds
250,Bitung,ID,2022-02-13 22:08:06,1.4451,125.1824,72.45,82,73,3.74,broken clouds
251,Dunedin,NZ,2022-02-13 22:10:32,-45.8742,170.5036,57.56,67,3,3.11,clear sky
252,Yining,CN,2022-02-13 22:10:26,29.0361,114.5636,39.42,89,55,1.19,broken clouds
253,Margate,GB,2022-02-13 22:08:04,51.3813,1.3862,49.96,88,100,11.01,light rain
254,Mount Hagen,PG,2022-02-13 22:12:49,-5.8581,144.2274,61.86,97,100,1.39,overcast clouds
255,Poltavka,RU,2022-02-13 22:12:49,54.3663,71.7632,-13.31,100,35,4.85,scattered clouds
